title,agency,career_level,salary_range_from,salary_range_to
Policy Analyst,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),74710,100812
Director of Customer Support - IT Division,LAW DEPARTMENT,Experienced (non-manager),130000,130000
Supervisor of Stock Worker,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),39779,61438
Operations Manager  Executive,OFFICE OF MANAGEMENT & BUDGET,Experienced (non-manager),83399,103307
Assistant District Attorney -  Appeals Bureau,BRONX DISTRICT ATTORNEY,Experienced (non-manager),80000,167610
PUBLIC WARNING SPECIALIST,OFFICE OF EMERGENCY MANAGEMENT,Experienced (non-manager),60000,60000
COMPUTER ASSOC (OPERATIONS),DEPARTMENT OF SANITATION,Experienced (non-manager),73358,112111
Special Assistant,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),58700,192152
Capital Program Property Liaison,NYC HOUSING AUTHORITY,Experienced (non-manager),54100,83981
Product Executive Director of Development for the Division of HPD Tech,HOUSING PRESERVATION & DVLPMNT,Manager,116464,126464
Confidential Investigator,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),53956,73140
Senior Data Engineer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),0,140000
Office Manager- Bureau of Early Intervention,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58695,70000
Contract Specialist,NYC HOUSING AUTHORITY,Experienced (non-manager),45377,76959
SPECIAL COUNSEL TO THE GENERAL COUNSEL,HRA/DEPT OF SOCIAL SERVICES,Manager,72038,192152
Senior IT Systems Specialist (Cloud and Infrastructure),DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),85371,109990
Landmarks Preservationist - Enforcement Department,LANDMARKS PRESERVATION COMM,Experienced (non-manager),70259,85445
Discretionary Contract Manager,DEPARTMENT OF BUSINESS SERV.,Experienced (non-manager),50972,75000
Reentry Communities Coordinator,HUMAN RIGHTS COMMISSION,Experienced (non-manager),59116,74000
Electrical Engineering Intern,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,54544,66052
Fingerprint Technician Trainee,POLICE DEPARTMENT,Experienced (non-manager),31373,36079
Secretary to Division Chief - Information Technology Division,LAW DEPARTMENT,Entry-Level,50000,50000
Civil Engineer I,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
CIVIL SERVICE GENERALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),70611,81203
Deputy Counsel,DEPARTMENT OF TRANSPORTATION,Manager,72038,192152
Mate,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),75365,75365
Design Engineer,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),62370,71726
OILER,POLICE DEPARTMENT,Experienced (non-manager),478,478
EOD Clerical Support for the Division of Emergency Operations,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),39763,45728
CLAIM SPECIALIST - TORT,LAW DEPARTMENT,Experienced (non-manager),41483,66236
Analyst  Miscellaneous Budget,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,65604
Heating Plant Technician,NYC HOUSING AUTHORITY,Experienced (non-manager),32938,54119
Project Engineer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
Medical Director- Bureau of Communicable Disease,DEPT OF HEALTH/MENTAL HYGIENE,Manager,170325,182522
Business Intelligence Manager,NYC HOUSING AUTHORITY,Experienced (non-manager),110000,129738
Operations Associate- Bureau of Childcare,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,50000
Compliance Analyst,NYC HOUSING AUTHORITY,Experienced (non-manager),70611,90000
CARES Director of Design & Construction,DEPT OF CITYWIDE ADMIN SVCS,Manager,110000,120000
Public Health Advisor II- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47155,54228
Senior Program Manager- Preventative Maintenance,DEPT OF CITYWIDE ADMIN SVCS,Manager,90000,100000
ENGAGEMENT COORDINATOR,DEPT. OF HOMELESS SERVICES,Experienced (non-manager),54100,62215
Public Health Advisor I- Bureau of Hepatitis- HIV- and STI,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),39096,50489
SUSTAINABILITY ANALYST,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51535,59265
Payroll Funding Accountant,OFF OF PAYROLL ADMINISTRATION,Experienced (non-manager),56013,77000
Software Developer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),92194,119610
Assistant Process Engineer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
CASE MANAGEMENT TEAM LEADER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),60793,69912
Senior Data Analyst,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),84468,111003
Movie Mobile Unit Recreation Specialist,DEPT OF PARKS & RECREATION,Entry-Level,21.65,21.65
Movie Mobile Unit Recreation Specialist,DEPT OF PARKS & RECREATION,Entry-Level,21.65,21.65
INFOLINE- SECTION SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
Purchasing Specialist- Office of Chief Information Officer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),43728,68645
Director of Water System Capital Program,DEPT OF ENVIRONMENT PROTECTION,Manager,80931,208826
CARETAKER X (HA),NYC HOUSING AUTHORITY,Entry-Level,31836,46278
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
City Seasonal Aide/Security Guard,DEPT OF PARKS & RECREATION,Entry-Level,15.45,15.45
Field Operations Liaison- Bureau of School Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54100,62215
Program Specialist- Treatment & Care Coordination Services- Bureau of Mental Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),72603,82086
Electrical Engineering Intern,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,54544,66052
Reentry Communities Coordinator,HUMAN RIGHTS COMMISSION,Experienced (non-manager),59116,74000
Senior Director- Training and Professional Development,DEPARTMENT FOR THE AGING,Manager,135000,135000
RMAS Legal Coordinator,DEPARTMENT OF CORRECTION,Experienced (non-manager),47418,54531
Executive Assistant,LAW DEPARTMENT,Experienced (non-manager),60000,60000
Procurement Assistant Intern- Bureau of Equitable Health Systems,DEPT OF HEALTH/MENTAL HYGIENE,Student,15.5,19.9
Claims Specialist- Level III- Premises Liability Claims,OFFICE OF THE COMPTROLLER,Experienced (non-manager),60132,69152
CLAIM SPECIALIST,LAW DEPARTMENT,Experienced (non-manager),41483,47705
Associate Commissioner- Enterprise Development & Architecture,DEPARTMENT OF CORRECTION,Executive,180000,190000
Social Worker - New Family Home Visits Program (NFHV)- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),51079,70000
Senior IT Architect,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),0,140000
Business Intelligence Analyst,DEPARTMENT OF CORRECTION,Experienced (non-manager),84468,111003
Risk Analyst,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),58695,67499
Call Center Assistant Supervisor,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53057,77124
Emergency Management Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),64749,134280
Assistant Wildlife Studies Program Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
Director of Water System Capital Program,DEPT OF ENVIRONMENT PROTECTION,Manager,80931,208826
Disability Case Management Specialist,NYC EMPLOYEES RETIREMENT SYS,Entry-Level,51528,59257
Community Associate,BRONX COMMUNITY BOARD #6,Entry-Level,20.9814,34.9174
Asset Management Program Planner,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),74650,109409
Asset Management Program Planner,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),85371,109990
ADMINISTRATIVE COORDINATOR â FIRST DEPUTY COMMISSIONER AND G,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
ADMINISTRATIVE COORDINATOR â FIRST DEPUTY COMMISSIONER AND G,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58695,67499
Division Chief- Real Property,OFFICE OF THE COMPTROLLER,Manager,80000,95000
Deputy Director of the Tablet Operations Unit,DEPARTMENT OF CORRECTION,Experienced (non-manager),76408,91234
Child Care Investigator,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),51079,76332
Staff Writer,OFFICE OF THE COMPTROLLER,Manager,70000,80000
Facilities Building Custodian - Part Time,LAW DEPARTMENT,Experienced (non-manager),17.42,19.6849
Assistant General Counsel,ADMIN TRIALS AND HEARINGS,Experienced (non-manager),58700,100000
APPLICATIONS PROGRAMMER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),66597,92323
Deputy Director,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),53702,118000
Senior EHS Specialist â Assessments and Measurement,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),84468,111003
SPECIAL ASSISTANT TO THE DEPUTY COMMISSIONER OF CAREER SERVICES,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),94715,107789
EEO Officer,TECHNOLOGY & INNOVATION,Executive,80931,160000
Assistant Analyst  Citywide Savings,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,51550
Conference Facilitator,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),73027,98484
MANAGING DIRECTOR OF OUTREACH AND RACIAL JUSTICE,HUMAN RIGHTS COMMISSION,Executive,63301,100000
FAIR FARES AGENT,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),37748,57043
EXECUTIVE DIRECTOR- HRA TECHNOLOGY/ELIGIBILITY SYSTEMS,HRA/DEPT OF SOCIAL SERVICES,Manager,77688,152000
Principal Administrative Associate,POLICE DEPARTMENT,Experienced (non-manager),53057,77124
IT Security Specialist,POLICE DEPARTMENT,Experienced (non-manager),75000,180000
Space Analyst,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),57078,85646
Chief of Personnel,LAW DEPARTMENT,Experienced (non-manager),125000,125000
Crystal Reports Architect,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),100000,105000
CLAIM SPECIALIST LEVEL 1 - AFFIRMATIVE LITIGATION,LAW DEPARTMENT,Experienced (non-manager),41483,47705
Purchasing Agent,LAW DEPARTMENT,Experienced (non-manager),18.7318,21.5419
Insurance Compliance Associate,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),63859,96228
Plumbing Inspector,DEPARTMENT OF BUILDINGS,Experienced (non-manager),53563,61800
Chief - Geotechnical Investigations,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),67757,89610
Office Manager,DEPARTMENT OF CORRECTION,Entry-Level,57394,66003
DESIGN ENGINEER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
IT Senior Developer,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),41.05,71.15
Case Navigation Supervisor,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),60718,90773
Engineering Investigative Auditor,DEPARTMENT OF INVESTIGATION,Experienced (non-manager),64230,90000
College Aide-  Bureau of Food Safety and Community Sanitation,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),15.5,19.9
Analyst Grant Monitoring,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,65604,83399
Community Associate,BRONX COMMUNITY BOARD #6,Entry-Level,20.9814,34.9174
Watershed Maintainer - 2 positions,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,44838,44838
IT Project Manager,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),75000,103842
IT Product Owner,TAXI & LIMOUSINE COMMISSION,Experienced (non-manager),84468,105000
Administrative Support for the Division of DSE-AEP,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),54100,62215
Confidential Investigator,DEPARTMENT OF CORRECTION,Entry-Level,58167,58167
Deputy Director,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),53702,123150
Deputy Director- Sustainability Policy,DEPARTMENT OF BUILDINGS,Manager,64922,130000
Account Adjustment Adjuster,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),43365,57539
Capital Projects Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),56972,155020
Project Development Coordinator for GreenThumb,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Project Development Coordinator for GreenThumb,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Engagement & Operations Manager,DEPARTMENT OF SANITATION,Experienced (non-manager),84451,113550
Automotive Specialist,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),67757,98128
Administrative Assistant- Bureau of Revenue,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),42454,55000
Project Development Coordinator for Revenue,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Coordinator for the Division of Tenant Resources,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),60000,70000
Constituent Services Coordinator for the Division of Housing Supervision,HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),59116,67983
Inspector â School Safety,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),49930,70888
CERTIFIED IT ADMINISTRATOR (LAN/WAN)- LEVEL III,POLICE DEPARTMENT,Experienced (non-manager),92194,130372
Project Manager,DEPARTMENT OF TRANSPORTATION,Entry-Level,51413,62260
Director- Water Supply Infrastructure and Watershed Assessment,DEPT OF ENVIRONMENT PROTECTION,Manager,53702,102568
ELIGIBILITY VERIFICATION SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),53057,61015
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51869,59649
SUMMER GRADUATE INTERN  OTI,OFFICE OF MANAGEMENT & BUDGET,Student,19.5,19.5
Team Leader- Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54100,75000
Deputy Director of Recreation,DEPARTMENT OF CORRECTION,Experienced (non-manager),61302,70497
Assistant Director  Financing Policy & Coordination,OFFICE OF MANAGEMENT & BUDGET,Executive,185886,185886
Energy Portfolio Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53702,115000
Environmental Engineer II,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80557,111917
Contracting Analyst,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),63859,96228
Air Noise Administrative Support Associate,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53057,77124
Assistant Architect for the Division of Building Land Development Services (scope and intake services),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),71884,77921
Plumber,NYC HOUSING AUTHORITY,Experienced (non-manager),52.79,52.79
Staff Analyst,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),62470,80008
JOB ADMIN ANALYST,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),70833,82150
Director of Public Safety Applications,FIRE DEPARTMENT,Experienced (non-manager),0,180000
Equal Employment Opportunity Officer,BOROUGH PRESIDENT-BRONX,Entry-Level,59116,91768
Senior Design Reviewer (Mechanical),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),80557,105000
Data and Quality Assurance Spec,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),64140,70554
Senior Environmental Planner for the Division of Building and Land Development Services (NYCHA Projects),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),70000,80000
Deputy Director for Clean Energy,DEPT OF ENVIRONMENT PROTECTION,Manager,130000,160000
Pharmacy Technician- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),49950,57442
Project Development Coordinator for Innovation and Performance Management,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
DIRECTOR- HOME ENERGY ASSISTANCE PROGRAM,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58700,115000
Bronx Borough Commissioner,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),80931,208826
Operations Analyst  Executive,OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,65604
Senior Zoning Specialist,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),74650,85845
Assistant Project Engineer,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),51413,62260
Senior Director- Financial and Investment Reporting,OFFICE OF THE COMPTROLLER,Manager,135000,145000
Senior Systems Analyst,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),81248,118938
Summer Rising Program Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),32.3569,50.2288
Electricianâs Helper,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,279.3,279.3
Investment Officer- Alternative Credit,OFFICE OF THE COMPTROLLER,Manager,110000,133900
Special Officer,BRONX DISTRICT ATTORNEY,Experienced (non-manager),40554,40554
Public Health Epidemiologist I- Bureau of Communicable Diseases,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,55473,63794
Director of Wastewater Capital Program,DEPT OF ENVIRONMENT PROTECTION,Manager,80931,208826
Community Associate,NYC HOUSING AUTHORITY,Experienced (non-manager),38333,63794
Procurement Anlayst III,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),60010,100875
Program Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),59116,72000
Mechanical Engineer,FIRE DEPARTMENT,Experienced (non-manager),80557,111917
Financial Analyst,NYC HOUSING AUTHORITY,Experienced (non-manager),56013,89610
Assistant Director  TECHNOLOGY BUDGET & MANAGEMENT,OFFICE OF MANAGEMENT & BUDGET,Executive,141766,141766
Field Audit Review (FAR) Trainer in the Administration & Internal Compliance Division (AIC),HOUSING PRESERVATION & DVLPMNT,Experienced (non-manager),75000,75000
Program Assistant â Law Library Services,DEPARTMENT OF CORRECTION,Experienced (non-manager),40667,46767
USER INTERFACE ENGINEER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),63301,140000
Senior Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),43929,57093
Referral Coordinator,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),47418,69462
Senior Project Manager,DEPARTMENT OF FINANCE,Experienced (non-manager),86830,90000
Family Service Specialist,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),54100,62215
COMMUNITY ASSOCIATE,NYC HOUSING AUTHORITY,Entry-Level,62215,62215
Project Manager,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),67757,77921
Fitness Instructor (CIVILIANIZATION),POLICE DEPARTMENT,Experienced (non-manager),46191,64925
Program Specialist- Crisis Services- Bureau of Mental Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),72603,82086
Engineer-In-Charge,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),80557,92640
Director of Planning & Procurement,DEPT OF ENVIRONMENT PROTECTION,Executive,80931,208826
Inspector- Bureau of Veterinary and Pest Control Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45722,45722
IT Product Manager- Bureau of IT Strategy and Project Management,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),75000,115000
Scientist of Water Ecology,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),65877,93984
Labor Relations Attorney III,DEPARTMENT OF CORRECTION,Experienced (non-manager),79620,91563
Systems Developer,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),76584,112111
Civil Engineering Intern,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51413,59125
ASSISTANT DEPUTY COMMISSIONER,HRA/DEPT OF SOCIAL SERVICES,Executive,87277,147673
Conference Facilitator,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),73027,83981
Agency Attorney,DEPARTMENT OF CORRECTION,Experienced (non-manager),83158,95632
Junior Public Health Nurse- Bureau of Clinical Quality Management and Improvement,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),76174,76174
ACCOUNTABLE MANAGER,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),90114,122168
Senior Project Administrator,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),74650,85847
Fleet Project Coordinator,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
Learning and Training Development Specialist,FINANCIAL INFO SVCS AGENCY,Experienced (non-manager),85000,90000
Associate Staff Analyst,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),70611,105138
PROJECT SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),92194,119610
Project Controls Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),74650,109409
Analyst  Energy Efficiency and Modernization Unit (EEMU),OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,78232
Disease Intervention Specialist (DIS)- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),54270,62410
ASSISTANT ARCHITECT,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),57078,65640
Chief Information Officer,DEPARTMENT OF INVESTIGATION,Manager,72038,170000
Engineer-in-Charge of Shaft Maintenance,DEPT OF ENVIRONMENT PROTECTION,Manager,64922,173486
DEPUTY Director of Program Performance,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),54990,100812
DIVERSION TEAM WORKER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),42389,71046
Cyber Security Analyst -Silver Star,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),43.1281,62.0142
Network Security Engineer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),78795,113300
ENROLLMENT SPECIALIST,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),38333,47634
Child Protective Manager,ADMIN FOR CHILDREN'S SVCS,Manager,58700,102226
Electrical Inspector,DEPARTMENT OF BUILDINGS,Experienced (non-manager),56761,65275
Green Infrastructure Program Coordinator,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),65208,95993
QI Liaison Support,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),73027,98484
Project Manager,ADMIN FOR CHILDREN'S SVCS,Experienced (non-manager),75000,115000
Chief,NYC HOUSING AUTHORITY,Manager,58700,122000
Deputy Director,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),56972,123150
CIVIL ENGINEERING INTERN,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,51413,59125
Water Quality Scientist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),80103,100532
CASE MANAGEMENT SUPERVISOR,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),51869,59649
Analyst  Energy Efficiency and Modernization Unit (EEMU),OFFICE OF MANAGEMENT & BUDGET,Entry-Level,51550,78232
Account Supervisor,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),46700,68092
EARD TEAM LEADER,DEPARTMENT OF CITY PLANNING,Experienced (non-manager),73294,84288
Outreach Coordinator for Partnerships for Parks,DEPT OF PARKS & RECREATION,Experienced (non-manager),59116,91768
SCADA Support Specialist,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),85371,109990
Machinist Helper,DEPT OF ENVIRONMENT PROTECTION,Entry-Level,281.68,327.76
Operations Associate- Bureau of Childcare,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),40017,50000
Help Desk Level 1 Representative,OFF OF PAYROLL ADMINISTRATION,Experienced (non-manager),32850,48940
FACILITY COORDINATOR/BUILDING MANAGER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),71884,82667
OLR HEARING OFFICER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),58700,161534
ASSISTANT DEPUTY COMMISSIONER- ACCOUNTABILITY INITIATIVES & CHANGE MONITORING,HRA/DEPT OF SOCIAL SERVICES,Manager,94715,150000
Senior Lead Research Analyst-  Bureau of Maternal Infant and Reproductive Health,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),84468,97138
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),39763,60350
Owner/Driver Resource Center Graduate College Intern,TAXI & LIMOUSINE COMMISSION,Student,15.5,16
Clinic Manager- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),58695,77000
Pharmacy Technician- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),45137,51907
NET DEVELOPER,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),0,160000
Supervisor,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),66042,102646
Plan Examiner- Cranes & Derricks,DEPARTMENT OF BUILDINGS,Experienced (non-manager),88026,101230
Inter-Agency Coordinator,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),74650,85847
Public Health Advisor I- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),39096,50000
Public Health Advisor I - Data Entry and Follow Up Team (Part-Time)- Bureau of School Health,DEPT OF HEALTH/MENTAL HYGIENE,Entry-Level,21.41,27.62
Assistant District Attorney,DISTRICT ATTORNEY RICHMOND COU,Manager,97500,102500
Cyber Operations Analyst- Office of Chief Information Officer,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),78795,100000
Supervisor,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),53057,77124
Assistant Commissioner,DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),72038,163598
PLASTERER (HOUSING AUTH-40 HRS/WK),NYC HOUSING AUTHORITY,Entry-Level,44.82,44.82
Data Analytics Auditor- Bureau of Audit Services,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),82506,86000
Director,DEPT OF DESIGN & CONSTRUCTION,Manager,64922,134678
Technology Project Analyst- Digital Platform Solutions (Project Management Office),MAYORS OFFICE OF CONTRACT SVCS,Manager,75000,85000
Outreach Intern,TAXI & LIMOUSINE COMMISSION,Student,15.5,16
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),36390,55228
Police Administrative Aide,POLICE DEPARTMENT,Experienced (non-manager),39763,60350
Public Health  Advisor- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),39096,44960
Disease Intervention Specialist (DIS)- Bureau of Public Health Clinics,DEPT OF HEALTH/MENTAL HYGIENE,Experienced (non-manager),59301,62410
Senior Project Manager (Environmental),DEPT OF DESIGN & CONSTRUCTION,Experienced (non-manager),75504,86830
Trial Preparation Assistant - Trial Division/Homicide,BRONX DISTRICT ATTORNEY,Experienced (non-manager),44083,44083
Plumber's Helper,NYC HOUSING AUTHORITY,Experienced (non-manager),36.95,36.95
Director of Enforcement Unit,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),84468,99000
Assistant Program Risk Manager,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),57078,85646
Accountant,DEPARTMENT OF TRANSPORTATION,Experienced (non-manager),64857,98100
CEMENT MASON,HRA/DEPT OF SOCIAL SERVICES,Experienced (non-manager),336.7,336.7
Deputy Director of Integrity Review Unit- Division of Economic Opportunity and Regulatory Compliance,HOUSING PRESERVATION & DVLPMNT,Manager,80000,90000
Senior Data Analytics and Reporting Data Engineer- Digital Platform Solutions,MAYORS OFFICE OF CONTRACT SVCS,Manager,85000,110000
Executive Assistant,DEPT OF ENVIRONMENT PROTECTION,Experienced (non-manager),53057,77124
Special Assistant and Operations Manager,DEPT OF YOUTH & COMM DEV SRVS,Experienced (non-manager),84468,111003
Video Technician,BRONX DISTRICT ATTORNEY,Experienced (non-manager),58300,58300
